id,title,genre,runtime,year,rating,actors,rate,release_status
1,가디언즈오브갤럭시:Volume3,액션,150,2023,NULL,"크리스프랫,조샐다나,데이브바티스타,빈디젤",12세관람가,0
2,극장판짱구는못말려:동물소환닌자배꼽수비대,애니메이션,100,2023,NULL,NULL,전체관람가,0
3,기생충,드라마,131,2019,9.07,"송강호,이선균,조여정,최우식,박소담,이정은,장혜진,박명훈,정지소",15세관람가,1
4,나홀로집에,모험,105,1991,9.44,"맥컬리컬킨,조페시,다니엘스턴,존허드,로버츠브로좀,캐서린오하라",전체관람가,1
5,나홀로집에2-뉴욕을헤매다,모험,115,1992,9.36,"맥컬리컬킨,조페시,다니엘스턴,존허드,캐서린오하라,에디브랙큰",전체관람가,1
6,나홀로집에3,코미디,102,1998,8.01,"알렉스디린츠,오렉크루파,하빌랜드모리스,데이비드손톤,스칼릿조핸슨,레니본돌렌",전체관람가,1
7,남은인생10년,드라마,125,2023,NULL,"고마츠나나,사카구치켄타로",NULL,0
8,너의이름은,애니메이션,106,2017,9.02,"카미키류노스케,카미시라이시모네,나가사와마사미,나리타료,유우키아오이",12세관람가,1
9,대외비,범죄,116,2023,6.18,"조진웅,이성민,김무열,원현준,김민재,유승목",15세관람가,1
10,드림,코미디,125,2023,7.43,"박서준,아이유,김종수,고창석,정승길,이현우",12세관람가,1
11,롱디,로맨스,101,2023,NULL,"장동윤,박유나,고건한",12세관람가,0
12,리바운드,드라마,122,2023,8.52,"안재홍,이신영,정진운,김택,정건주,김민",12세관람가,1
13,리턴투서울,드라마,119,2023,NULL,"박지민,오광록,김선영,손승범",15세관람가,0
14,메리마이데드바디,코미디,129,2023,NULL,"허광한,임백굉,왕정,탁종화,왕만교,채진남",12세관람가,0
15,무명,스릴러,132,2023,7.96,"양조위,이보,저우쉰,장정의",15세관람가,1
16,밀수,범죄,NULL,2023,NULL,"김혜수,염정아,조인성,박정민,김종수,고민시",NULL,0
17,범죄도시,액션,121,2017,9.28,"마동석,윤계상,조재윤,최귀화,임형준,진선규",청소년관람불가,1
18,범죄도시2,범죄,106,2022,9.00,"마동석,손석구,최귀화,박지환,허동원,하준",15세관람가,1
19,범죄도시3,범죄,NULL,2023,NULL,"마동석,이준혁,아오키무네타카,이범수,김민재,이지훈",15세관람가,0
20,범죄도시4,액션,NULL,NULL,NULL,"마동석,김무열,이동휘,박지환,이범수,김민재",NULL,0
21,베니스유령살인사건,범죄,NULL,2023,NULL,"케네스브래너,양자경,카일앨런,카밀코탄",NULL,0
22,브로커,드라마,129,2022,6.62,"송강호,강동원,배두나,아이유,이주영,임승수",12세관람가,1
23,상견니,드라마,107,2023,7.58,"가가연,허광한,시백우",15세관람가,1
24,소울메이트,드라마,124,2023,8.02,"김다미,전소니,변우석,장혜진,박충선,남윤수",12세관람가,1
25,슈퍼마리오브라더스,애니메이션,92,2023,8.49,"크리스프랫,안야테일러조이,잭블랙,세스로건",전체관람가,1
26,스즈메의문단속,애니메이션,122,2023,8.11,"하라나노카,마츠무라호쿠토,후카츠에리,마츠모토코시로",전체관람가,1
27,스트리머,공포,89,2023,NULL,"이푸름,권민혁,김모범,김준형,심소영",15세관람가,0
28,엑시트,액션,103,2019,8.99,"조정석,윤아,고두심,박인환,김지영,강기영",12세관람가,1
29,여름날우리,로맨스,115,2021,8.19,"허광한,장약남",12세관람가,1
30,오디션,공포,115,2023,8.14,"시이나에이히,이시바시료,쿠니무라준,사와키테츠",청소년관람불가,1
31,옥수역귀신,공포,80,2023,6.00,"김보라,김재현,신소율,오진석,김강일,김수진",15세관람가,1
32,웅남이,코미디,97,2023,7.76,"박성웅,이이경,염혜란,최민수,오달수,윤제문",15세관람가,1
33,인어공주,가족,NULL,2023,NULL,"할리베일리,멜리사맥카시,조나하우어-킹",NULL,0
34,장화신은고양이:끝내주는모험,애니메이션,102,2023,8.40,"안토니오반데라스,셀마헤이엑,올리비아콜맨,하비길렌,와그너모라,안토니멘데즈",전체관람가,1
35,존윅4,액션,169,2023,8.41,"키아누리브스,견자단,빌스카스가드,로렌스피시번,이안맥쉐인",청소년관람불가,1
36,클로즈,드라마,104,2023,NULL,"에덴담브린,구스타브드와엘,에밀리드켄,레아드루케",12세관람가,0
37,킬링로맨스,코미디,107,2023,7.74,"이하늬,이선균,공명,배유람",15세관람가,1
38,토키와로키타,드라마,89,2023,NULL,"파블로실스,졸리음분두",15세관람가,0
39,해리포터와마법사의돌,판타지,152,2001,9.40,"다니엘래드클리프,루퍼트그린트,엠마왓슨,로비콜트레인,리처드해리스,앨런릭먼",전체관람가,1
40,해리포터와불사조기사단,판타지,137,2007,8.63,"다니엘래드클리프,엠마왓슨,루퍼트그린트,제이슨아이삭스,이반나린치,이멜다스턴톤",전체관람가,1
41,해리포터와불의잔,판타지,156,2005,9.41,"다니엘래드클리프,엠마왓슨,루퍼트그린트,케이티렁,프레드랙베랙,로비콜트레인",전체관람가,1
42,해리포터와비밀의방,판타지,162,2002,8.89,"다니엘래드클리프,루퍼트그린트,엠마왓슨,리처드해리스,케네스브래너,엘런릭먼",전체관람가,1
43,해리포터와아즈카반의죄수,판타지,141,2004,9.79,"다니엘래드클리프,엠마왓슨,루퍼트그린트,로비콜트레인,티모시스폴,게리올드만",전체관람가,1
44,해리포터와죽음의성물-1부,액션,146,2010,8.20,"다니엘래드클리프,루퍼트그린트,엠마왓슨,빌나이,리차드그리피스,해리멜링",전체관람가,1
45,해리포터와죽음의성물-2부,모험,131,2011,9.33,"다니엘래드클리프,엠마왓슨,루퍼트그린,보니라이트,랄프파인즈,톰펠튼",전체관람가,1
46,해리포터와혼혈왕자,판타지,153,2009,6.98,"다니엘래드클리프,엠마왓슨,루퍼트그린트,톰펠튼,마이클갬본,로비콜트레인",전체관람가,1
47,헤어질결심,로맨스,138,2022,8.97,"박해일,탕웨이,이정현,박용우,고경표,김신영",15세관람가,1
48,올빼미,스릴러,118,2022,8.72,"류준열,유해진,최무성,조성하,박명훈,김성철",15세관람가,1
49,소중한날의꿈,애니메이션,98,2011,8.61,"박신혜,송창의,오연서,서주애,전혜영",전체관람가,1
64,명탐정코난:시한장치의마천루,애니메이션,99,NULL,8.33,"타카야마미나미,야마구치캇페이,야마자키와카나,카미야아키라,오가타켄이치,차후린",12세관람가,0
65,명탐정코난:눈동자속의암살자,애니메이션,100,NULL,8.80,"타카야마미나미,야마자키와카나,카미야아키라,하야시바라메구미,오가타켄이치",12세관람가,0
66,명탐정코난:14번째표적,애니메이션,99,NULL,8.60,"타카야마미나미,야마자키와카나,야마구치캇페이,카미야아키라,차후린",12세관람가,0
67,명탐정코난:세기말의마술사,애니메이션,100,NULL,8.60,"타카야마미나미,야마자키와카나,카미야아키라,차후린,오가타켄이치",12세관람가,0
68,명탐정코난:천국으로의카운트다운,애니메이션,90,NULL,8.40,"타카야마미나미,야마자키와카나,카미야아키라,이와이유키코,타카기와타루",12세관람가,0
69,명탐정코난:베이커가의망령,애니메이션,107,2008,8.60,"김선혜,이현진,이정구",12세관람가,1
70,명탐정코난:세기말의마술사,애니메이션,100,NULL,8.60,"타카야마미나미,야마자키와카나,카미야아키라,차후린,오가타켄이치",12세관람가,0
71,명탐정코난:미궁의십자로,애니메이션,110,NULL,8.60,"타카야마미나미,야마자키와카나,카미야아키라,호리카와료,미야무라유코",12세관람가,0
72,명탐정코난:절해의탐정(프라이빗아이),애니메이션,110,NULL,5.70,"타카야마미나미,야마자키와카나,코야마리키야,시바사키코우,차후린",12세관람가,0
